Managed Account;MAC;Device Name;IP Address;IPv6 Address;Device Type;Serial Number;Description;Active S/W Version;Duration;Status;Status Time;Status Time (Seconds);Height
Base Infrastructure;00:04:56:46:E4:DE;43406-ZGYO397;10.68.254.17;N/A;ePMP Force 300-19R SM;E6XF00MV78P1;;4.6.1-RC26;0d 0h 13m;Online;0d 0h 15m;912;N/A
Base Infrastructure;00:04:56:46:A3:DA;21267-VZVF263_VDASANTABARBARA;10.68.215.195;N/A;ePMP Force 300-19R SM;;;4.6.1-RC14;0d 0h 31m;Online;0d 0h 36m;2207;N/A
Base Infrastructure;58:C1:7A:FA:CF:40;COR-ARENOSO;10.71.36.190;N/A;cnMatrix EX1010;XMXDMNHD81GF;;4.1.0-300;0d 1h 52m;Online;1d 15h 55m;143706;N/A
Base Infrastructure;58:C1:7A:71:E9:05;37376-ZCKE511--VDA RICABRISA;10.67.198.123;N/A;ePMP Force 300C SM;E8XE03CCKZTT;37376-ZCKE511;4.6.0.1;0d 14h 57m;Online;0d 0h 28m;1723;N/A
Base Infrastructure;58:C1:7A:71:E5:18;SUC.Sucre_AP5;10.70.119.66;N/A;ePMP Force 300C AP;;47681 SOCORRO;4.6.1-RC14;0d 15h 55m;Online;0d 16h 45m;60326;N/A
Base Infrastructure;00:04:56:46:B0:40;ESCUELA NUEVA CHINELA;10.70.40.235;N/A;ePMP Force 300-19R SM;E6XD01TQ293B;30528-VZVF414;4.6.1-RC26;0d 18h 43m;Online;0d 0h 43m;2632;N/A
Base Infrastructure;00:04:56:46:A6:64;43766-ZZZY698 VDA EL COROZAL LOS;10.65.184.155;N/A;ePMP Force 300-19R SM;E6XD00FNJWW9;43766-ZZZY698;4.6.1-RC26;0d 19h 31m;Online;0d 0h 5m;317;N/A
Base Infrastructure;58:C1:7A:72:ED:C0;CAQCERROSONORAINDIA;10.67.200.194;N/A;ePMP 3000L AP;E8XF0G7JDR74;INDIA;4.6.1-RC26;0d 19h 42m;Online;0d 2h 7m;7637;N/A
Base Infrastructure;00:04:56:46:A3:D2;19259-HPQZ146-BURITICA-HIGABRA;10.68.209.197;N/A;ePMP Force 300-19R SM;E6XD002PQT48;19259-HPQZ146;4.6.1-RC26;0d 20h 13m;Online;0d 20h 14m;72889;N/A
Base Infrastructure;00:04:56:42:86:12;37651-VZVF935_MAICAO_KM 60 VIA R;10.70.95.5;N/A;ePMP Force 300-19R SM;E6VG0BR2HTB2;37651-VZVF935;4.6.1-RC26;0d 20h 26m;Offline;0d 0h 52m;3170;N/A
Base Infrastructure;00:04:56:46:A3:D4;ANT-CONTINENTAL-GOLD;10.68.209.196;N/A;ePMP Force 300-19R AP;E6XD002QM6RK;19259-HPQZ146;4.6.1-RC26;0d 20h 30m;Online;0d 20h 31m;73862;N/A
Base Infrastructure;00:04:56:46:A9:8E;21601-ZIFV780_VDA LA DESCONOCIDA;10.68.225.204;N/A;ePMP Force 300-19R SM;;21601-ZIFV780;4.6.1-RC14;0d 20h 59m;Online;0d 0h 26m;1603;N/A
Base Infrastructure;00:04:56:46:AF:6C;ANT.Santuario_AP4;10.68.225.202;N/A;ePMP Force 300-19R AP;;21601-ZIFV780;4.6.1-RC14;0d 21h 7m;Online;0d 4h 0m;14406;N/A
Base Infrastructure;00:04:56:46:A6:F4;CES.CHAMPAN _AP2;10.70.40.234;N/A;ePMP Force 300-19R AP;E6XD00J201JK;30528-VZVF414;4.6.1-RC26;0d 21h 21m;Online;0d 15h 24m;55473;29 Meters
